game_id,away,home,away_rank,home_rank,away_score,home_score,date
401095345,Oregon,Alaska,3,NA,115,36,11/6/2018
401092565,Nicholls,Baylor,NA,4,39,100,11/6/2018
401091931,Louisville,Western Kentucky,5,NA,102,80,11/6/2018
401091398,Southeast Missouri State,Mississippi State,NA,6,53,88,11/6/2018
401091399,Missouri,Western Illinois,16,NA,89,64,11/6/2018
401091928,North Dakota,Syracuse,NA,18,49,85,11/6/2018
401090994,South Dakota State,Marquette,NA,19,52,91,11/6/2018
401090419,South Florida,Ohio State,22,NA,71,47,11/6/2018
401094276,Incarnate Word,Arizona State,NA,23,43,81,11/6/2018
401090420,Houston,California,NA,24,79,80,11/6/2018
401091926,Miami,Florida International,25,NA,94,43,11/6/2018
401091394,Gardner-Webb,Florida,NA,NA,60,58,11/6/2018
401091927,Troy,Florida State,NA,NA,67,103,11/6/2018
401095612,Indiana University Kokomo,Purdue Fort Wayne,NA,NA,50,87,11/6/2018
401092167,William Carey,Southern Miss,NA,NA,48,74,11/6/2018
401090415,Stetson,Tulsa,NA,NA,54,55,11/6/2018
401090673,Duquesne,TCU,NA,NA,48,61,11/6/2018
401092320,UC Santa Barbara,Utah Valley,NA,NA,54,63,11/6/2018
401094802,Carroll (MT),Montana State,NA,NA,48,64,11/6/2018
401090993,Wagner,Seton Hall,NA,NA,40,95,11/6/2018
401094373,Fresno State,Northern Arizona,NA,NA,73,86,11/6/2018
401090674,Loyola (MD),George Mason,NA,NA,38,70,11/6/2018
401095199,Grace Bible College,Oakland,NA,NA,48,94,11/6/2018
401090675,Sacred Heart,UMass,NA,NA,61,78,11/6/2018
401092170,Old Dominion,Campbell,NA,NA,83,59,11/6/2018
401092173,Western Carolina,Coastal Carolina,NA,NA,59,77,11/6/2018
401090676,Howard,La Salle,NA,NA,57,54,11/6/2018
401090416,Maryland-Eastern Shore,East Carolina,NA,NA,69,84,11/6/2018
401090417,Delaware State,Temple,NA,NA,61,75,11/6/2018
401093635,Charleston (WV),Binghamton,NA,NA,62,69,11/6/2018
401097251,Converse,Charleston Southern,NA,NA,50,101,11/6/2018
401095510,Lamar,Louisiana,NA,NA,79,77,11/6/2018
401096117,Jacksonville State,Florida A&M,NA,NA,62,31,11/6/2018
401096176,Lincoln PA,Morgan State,NA,NA,51,46,11/6/2018
401093174,LIU Brooklyn,Manhattan,NA,NA,46,61,11/6/2018
401093175,Bucknell,Monmouth,NA,NA,70,32,11/6/2018
401093370,Kutztown University,Lehigh,NA,NA,39,73,11/6/2018
401093371,Colgate,Yale,NA,NA,61,80,11/6/2018
401091393,Grambling,Auburn,NA,NA,48,97,11/6/2018
401091395,Sam Houston State,LSU,NA,NA,52,66,11/6/2018
401092174,Samford,UT Martin,NA,NA,68,89,11/6/2018
401092175,Wofford,Georgia Southern,NA,NA,81,65,11/6/2018
401095758,Lane College,Alcorn State,NA,NA,70,58,11/6/2018
401096368,Centenary,New Orleans,NA,NA,42,104,11/6/2018
401096700,Millsaps,Southern,NA,NA,36,71,11/6/2018
401096408,Cumberland (TN),Tennessee Tech,NA,NA,55,88,11/6/2018
401096193,Oakland City,Eastern Illinois,NA,NA,43,102,11/6/2018
401096225,Wesleyan College,Savannah State,NA,NA,26,155,11/6/2018
401092176,Lee University,Chattanooga,NA,NA,55,61,11/6/2018
401091929,South Carolina Upstate,Virginia Tech,NA,NA,45,96,11/6/2018
401091930,Towson,Wake Forest,NA,NA,53,60,11/6/2018
401093032,Texas Permian Basin,New Mexico State,NA,NA,38,70,11/6/2018
401091396,Norfolk State,Ole Miss,NA,NA,42,60,11/6/2018
401091397,North Alabama,Vanderbilt,NA,NA,74,71,11/6/2018
401091925,North Carolina,Elon,NA,NA,100,69,11/6/2018
401090418,Austin Peay,Cincinnati,NA,NA,48,69,11/6/2018
401090677,St. Bonaventure,Niagara,NA,NA,76,48,11/6/2018
401090678,VCU,William & Mary,NA,NA,72,55,11/6/2018
401090680,Georgetown,Richmond,NA,NA,73,53,11/6/2018
401094080,Bowling Green,Michigan State,NA,NA,69,99,11/6/2018
401093176,Princeton,Rider,NA,NA,89,65,11/6/2018
401093177,NJIT,Saint Peter's,NA,NA,57,70,11/6/2018
401093178,Iona,Hofstra,NA,NA,49,74,11/6/2018
401093694,Bryant,UMass Lowell,NA,NA,58,57,11/6/2018
401093708,Belmont Abbey,UNC Wilmington,NA,NA,58,74,11/6/2018
401093845,Gettysburg,UMBC,NA,NA,51,65,11/6/2018
401095200,Michigan Dearborn,Detroit Mercy,NA,NA,60,68,11/6/2018
401095201,Purdue Northwest,IUPUI,NA,NA,40,101,11/6/2018
401095202,Salem International,Cleveland State,NA,NA,81,113,11/6/2018
401095203,Robert Morris,Youngstown State,NA,NA,59,69,11/6/2018
401094790,St. Francis (PA),Rutgers,NA,NA,52,96,11/6/2018
401095416,Mercy,St. Francis (BKN),NA,NA,51,102,11/6/2018
401094979,Coppin State,West Virginia,NA,NA,37,78,11/6/2018
401095033,Central Connecticut,Brown,NA,NA,63,68,11/6/2018
401095140,Rutgers-Newark,Fairleigh Dickinson,NA,NA,51,97,11/6/2018
401095171,Washington College (MD),Mt. St. Mary's,NA,NA,50,74,11/6/2018
401092168,LSU-Alexandria,Louisiana Tech,NA,NA,70,112,11/6/2018
401092169,Concordia (TX),UTSA,NA,NA,51,78,11/6/2018
401092321,UC Riverside,USC,NA,NA,55,73,11/6/2018
401094756,Northwestern,Green Bay,NA,NA,57,55,11/6/2018
401095659,Harris Stowe,Oral Roberts,NA,NA,46,74,11/6/2018
401096014,Central Baptist College,Central Arkansas,NA,NA,34,55,11/6/2018
401096716,Mayville State,North Dakota State,NA,NA,43,49,11/6/2018
401096757,St Thomas University-Houston,Texas A&M-CC,NA,NA,40,78,11/6/2018
401092322,Academy Of Art University,Cal Poly,NA,NA,65,87,11/6/2018
401092323,CSU Northridge,Idaho,NA,NA,73,88,11/6/2018
401092324,CSU Fullerton,Seattle U,NA,NA,57,54,11/6/2018
401094803,Northern Colorado,Colorado,NA,NA,69,77,11/6/2018
401094374,Eastern New Mexico,Colorado State,NA,NA,46,72,11/6/2018
401094375,Western State,Air Force,NA,NA,54,72,11/6/2018
401093033,Wright State,CSU Bakersfield,NA,NA,74,76,11/6/2018
401094376,San Francisco State,San José State,NA,NA,73,66,11/6/2018
401094377,Utah State,Washington State,NA,NA,72,61,11/6/2018
401093888,Sonoma State,Santa Clara,NA,NA,38,98,11/6/2018
401093889,UCLA,Loyola Marymount,NA,NA,63,69,11/6/2018
401092325,Pepperdine,Hawai'i,NA,NA,65,64,11/6/2018
401092326,UC Davis,Stanford,NA,7,43,71,11/7/2018
401091932,Belmont,NC State,NA,17,62,77,11/7/2018
